"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","37","GET /products/:id returns correct product","chromium","2026-03-26","passed","2026-03-26","Products API","api\products.spec.ts","",""
"","6161","login with valid credentials","chromium","2026-03-26","passed","2026-03-26","","e2e\login.spec.ts","",""
"","10155","add product to cart","chromium","2026-03-26","passed","2026-03-26","","e2e\add-to-cart.spec.ts","",""
"","62","GET /products returns list and status 200","chromium","2026-03-26","passed","2026-03-26","Products API","api\products.spec.ts","",""
"","862","GET /products/1 returns product and 200","chromium","2026-03-26","passed","2026-03-26","API smoke (stable public endpoints)","api\auth.spec.ts","",""
